Smoothie_Name,Fat,Carbohydrates,Sugar,Protein,Calories
Avo Perfection,61.969,20.006999999999998,3.962,12.935,646.9000000000001
Berry Burst Bliss,110.2285,66.08,35.5786,28.120499999999996,1278.7199999999998
Cherry Delight,72.155,22.361,7.182200000000001,19.841,768.09
Citrus Sunrise Surprise,63.3648,24.7446,8.1634,16.2641,684.69
Coconut-Mango Dream,62.949000000000005,20.355,6.7638,15.372,665.1600000000001
Detox,66.83970000000001,35.30640000000001,15.2004,18.079399999999996,763.22
Grape Freshness,45.200300000000006,28.888200000000005,12.080800000000002,12.7037,538.9
Green Glow,0.8331999999999999,11.3804,4.357,4.980199999999999,65.56
Passion,105.22800000000001,32.568,11.803199999999999,28.476,1113.6000000000001
Peachy Paradise,109.5265,33.212500000000006,8.0528,29.892500000000002,1161.46
Sunshine Supreme,99.34350000000002,30.831,7.3874,27.6535,1052.6799999999998
Sweet red,111.0625,43.34,17.932000000000002,30.317500000000003,1209.4
